Category,Food Name,Alternative Name,Calorie (kcal),Modified Calorie (kcal),Water (g),Protein (g),Fat (g),SFA_g (g),Ash (g),Carbs (g),Fibre (g),Sugar (g),Glucose (g),Fructose (g),Galactose (g),Maltose (g),Sucrose (g),Lactose (g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Iron (mg),Zinc (mg),Phosphorus (mg),Copper (mg),Manganese (mg),Vitamin A Total (IU),Vitamin A(RE) (ug),Retinol (ug),α-Carotene (ug),β-Carotene (ug),Vitamin D Total (IU),Vitamin D (ug),Vitamin D2 (ug),Vitamin D3 (ug),Vitamin E Total (mg),Vitamin E(α-TE) (mg),α-Tocopherol (mg),β-Tocopherol (mg),γ-Tocopherol (mg),δ-Tocopherol (mg),Vitamin K1 (ug),Vitamin K2 MK-4 (ug),Vitamin K2 MK-7 (ug),Vitamin B1 (mg),Vitamin B2 (mg),Nicotin (mg),Vitamin B6 (mg),Vitamin B12 (ug),Folic acid (ug),Vitamin C (mg),SFA (mg),Butyric acid (4:0) (mg),Caproic acid (6:0) (mg),Caprylic acid (8:0) (mg),Capric acid (10:0) (mg),Lauric acid (12:0) (mg),Tridecanoic acid (13:0) (mg),Myristic acid (14:0) (mg),Pentadecanoic acid (15:0) (mg),Palmitic acid (16:0) (mg),Heptadecanoic acid (17:0) (mg),Stearic acid (18:0) (mg),Nonadecanoic acid (19:0) (mg),Arachidic acid (20:0) (mg),Behenic acid (22:0) (mg),Lignoceric acid (24:0) (mg),MUFA (mg),Myristoleic acid (14:1) (mg),Palmitoleic acid (16:1) (mg),Oleic acid (18:1) (mg),Gondoic acid (20:1) (mg),Erucic acid (22:1) (mg),PUFA (mg),LA (mg),ALA (mg),Stearidonic acid (18:4) (mg),Arachidonic acid (20:4) (mg),EPA (mg),DPA (mg),DHA (mg),Other FA (mg),P/M/S,Trans Fat (mg),Total AA (mg),Asp (mg),Thr (mg),Ser (mg),Glu (mg),Pro (mg),Gly (mg),Ala (mg),Cys (mg),Val (mg),Met (mg),Ile (mg),Leu (mg),Tyr (mg),Phe (mg),Lys (mg),His (mg),Arg (mg),Trp (mg),Cholesterol (mg),Alcohol (g),CalCalories(kcal),Carbs%,Protein%,Fat%,Alcohol%
蔬菜類,烏殼綠竹筍,烏殼綠竹筍,21,18,93.6,1.8,0.2,0.2,0.6,3.8,1.7,1.6,0.8,0.7,,0.0,0.0,0.0,17.0,238.0,11.0,11.0,0.3,0.6,31.0,0.004,,2.0,0.0,,,1.0,,,,,0.32,0.26,0.25,0.0,0.05,0.02,,,,0.06,0.06,0.36,0.1,,23.7,4.1,150.0,0.0,0.0,2.0,1.0,4.0,0.0,8.0,0.0,115.0,0.0,10.0,0.0,1.0,3.0,4.0,33.0,0.0,0.0,31.0,1.0,0.0,38.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.16/1.00/4.61,,1244.0,284.0,53.0,68.0,170.0,36.0,53.0,115.0,7.0,51.0,8.0,38.0,81.0,45.0,50.0,83.0,32.0,64.0,7.0,,,24.2,0.6281,0.2975,0.0744,0.0
蔬菜類,茭白筍,茭白筍,20,16,94.0,1.3,0.2,0.1,0.5,4.0,2.1,1.8,1.0,0.8,,0.0,0.0,0.0,5.0,219.0,3.0,7.0,0.4,0.2,38.0,0.003,,5.0,0.0,,0.0,3.0,,,,,0.4,0.16,0.14,0.01,0.22,0.03,,,,0.05,0.05,0.46,0.09,,62.7,5.2,104.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,81.0,0.0,4.0,0.0,6.0,3.0,5.0,23.0,0.0,0.0,20.0,3.0,0.0,30.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27/1.00/4.44,,,,,,,,,,,,,,,,,,,,,,,23.0,0.6957,0.2261,0.0783,0.0
蔬菜類,玉米筍,玉米筍,33,29,90.5,1.8,0.2,0.1,0.6,7.0,2.1,3.0,2.4,0.2,0.0,0.0,0.3,0.0,0.0,219.0,9.0,19.0,0.3,0.5,45.0,0.055,0.223,23.0,2.0,,,14.0,0.0,0.0,0.0,,0.19,0.1,0.09,0.0,0.1,0.0,0.0,0.0,0.0,0.07,0.1,0.53,0.13,,22.1,6.9,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,6.0,0.0,3.0,8.0,5.0,11.0,0.0,0.0,11.0,0.0,0.0,28.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44/1.00/10.64,0.0,1603.0,200.0,71.0,107.0,214.0,76.0,90.0,132.0,8.0,96.0,12.0,64.0,122.0,73.0,77.0,119.0,33.0,94.0,15.0,,,37.0,0.7568,0.1946,0.0486,0.0
蔬菜類,麻竹筍,麻竹筍,22,19,93.4,1.4,0.1,0.1,0.7,4.4,1.6,2.3,1.2,1.1,0.0,0.0,0.0,0.0,1.0,292.0,10.0,11.0,0.3,0.4,25.0,0.073,0.543,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.45,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.27,0.05,,22.2,3.3,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,7.0,6.0,10.0,0.0,0.0,10.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.02/1.00/8.27,0.0,1236.0,220.0,53.0,60.0,207.0,56.0,58.0,103.0,7.0,63.0,4.0,41.0,86.0,46.0,46.0,75.0,28.0,76.0,9.0,,,24.1,0.7303,0.2324,0.0373,0.0
蔬菜類,冷凍麻竹筍,冷凍麻竹筍,17,14,95.1,0.9,0.0,,0.2,3.8,1.7,,,,,,,,22.0,40.0,12.0,7.0,0.1,0.2,15.0,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.01,0.02,0.0,0.08,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,0.8085,0.1915,0.0,0.0
蔬菜類,綠竹筍,綠竹筍,25,22,92.6,1.7,0.2,0.2,0.7,4.7,1.7,2.2,1.1,1.1,,0.0,0.0,0.0,0.0,303.0,10.0,11.0,0.8,0.9,42.0,,,0.0,0.0,,,0.0,,,,,0.39,0.39,0.39,0.0,0.0,0.0,,,,0.07,0.06,0.22,0.08,,,5.0,151.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,129.0,0.0,3.0,0.0,2.0,7.0,4.0,25.0,0.0,2.0,22.0,2.0,0.0,55.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.16/1.00/5.95,,,,,,,,,,,,,,,,,,,,,,,27.4,0.6861,0.2482,0.0657,0.0
蔬菜類,帶殼熟綠竹筍,帶殼熟綠竹筍,25,22,92.4,2.0,0.1,,0.5,4.9,1.9,1.9,1.1,0.8,,0.0,0.0,0.0,1.0,236.0,8.0,9.0,0.4,0.7,38.0,,,366.0,37.0,,,220.0,,,,,0.24,0.22,0.22,0.01,0.02,0.0,,,,0.12,0.04,0.66,0.04,,7.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393.0,251.0,62.0,81.0,208.0,63.0,61.0,107.0,35.0,71.0,17.0,47.0,87.0,47.0,50.0,80.0,31.0,95.0,0.0,,,28.5,0.6877,0.2807,0.0316,0.0
蔬菜類,沙拉筍塊,沙拉筍塊,24,20,93.1,1.6,0.1,,0.4,4.8,1.7,3.0,1.4,1.2,,0.0,0.4,0.0,8.0,162.0,9.0,6.0,0.6,0.5,28.0,0.027,,0.0,0.0,,0.0,0.0,,,,,0.32,0.32,0.32,0.0,0.01,0.0,,,,0.01,0.03,0.3,0.01,,10.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197.0,151.0,61.0,68.0,184.0,34.0,61.0,91.0,10.0,59.0,15.0,46.0,89.0,41.0,62.0,103.0,31.0,76.0,13.0,,,26.5,0.7245,0.2415,0.034,0.0
蔬菜類,熟箭竹筍,熟箭竹筍,20,16,93.6,2.1,0.3,0.1,1.1,2.9,2.1,0.0,0.0,0.0,,0.0,0.0,0.0,343.0,2.0,54.0,2.0,0.5,0.2,24.0,0.06,,0.0,0.0,,0.0,0.0,,,,,0.68,0.58,0.57,0.0,0.11,0.01,,,,0.0,0.01,0.32,0.0,,9.7,0.3,80.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,66.0,0.0,3.0,0.0,1.0,4.0,2.0,19.0,0.0,0.0,14.0,1.0,4.0,115.0,82.0,33.0,0.0,0.0,0.0,0.0,0.0,4.0,5.92/1.00/4.14,,1897.0,199.0,94.0,102.0,241.0,78.0,101.0,124.0,11.0,114.0,35.0,93.0,174.0,84.0,98.0,151.0,49.0,145.0,3.0,,,22.7,0.511,0.37,0.1189,0.0
蔬菜類,白蘆筍,白蘆筍,25,22,92.6,1.8,0.2,0.1,0.5,4.9,1.8,,,,,,,,4.0,204.0,10.0,9.0,0.7,0.5,35.0,,,272.0,27.0,,0.0,163.0,,,,,0.07,0.06,0.06,0.01,0.01,0.0,,,,0.09,0.06,0.73,0.1,,,16.7,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,1.0,11.0,0.0,0.0,1.0,2.0,55.0,0.0,2.0,47.0,1.0,5.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.00/1.09/1.03,,,,,,,,,,,,,,,,,,,,,,,28.6,0.6853,0.2517,0.0629,0.0
