Category,Food Name,Alternative Name,Calorie (kcal),Modified Calorie (kcal),Water (g),Protein (g),Fat (g),SFA_g (g),Ash (g),Carbs (g),Fibre (g),Sugar (g),Glucose (g),Fructose (g),Galactose (g),Maltose (g),Sucrose (g),Lactose (g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Iron (mg),Zinc (mg),Phosphorus (mg),Copper (mg),Manganese (mg),Vitamin A Total (IU),Vitamin A(RE) (ug),Retinol (ug),α-Carotene (ug),β-Carotene (ug),Vitamin D Total (IU),Vitamin D (ug),Vitamin D2 (ug),Vitamin D3 (ug),Vitamin E Total (mg),Vitamin E(α-TE) (mg),α-Tocopherol (mg),β-Tocopherol (mg),γ-Tocopherol (mg),δ-Tocopherol (mg),Vitamin K1 (ug),Vitamin K2 MK-4 (ug),Vitamin K2 MK-7 (ug),Vitamin B1 (mg),Vitamin B2 (mg),Nicotin (mg),Vitamin B6 (mg),Vitamin B12 (ug),Folic acid (ug),Vitamin C (mg),SFA (mg),Butyric acid (4:0) (mg),Caproic acid (6:0) (mg),Caprylic acid (8:0) (mg),Capric acid (10:0) (mg),Lauric acid (12:0) (mg),Tridecanoic acid (13:0) (mg),Myristic acid (14:0) (mg),Pentadecanoic acid (15:0) (mg),Palmitic acid (16:0) (mg),Heptadecanoic acid (17:0) (mg),Stearic acid (18:0) (mg),Nonadecanoic acid (19:0) (mg),Arachidic acid (20:0) (mg),Behenic acid (22:0) (mg),Lignoceric acid (24:0) (mg),MUFA (mg),Myristoleic acid (14:1) (mg),Palmitoleic acid (16:1) (mg),Oleic acid (18:1) (mg),Gondoic acid (20:1) (mg),Erucic acid (22:1) (mg),PUFA (mg),LA (mg),ALA (mg),Stearidonic acid (18:4) (mg),Arachidonic acid (20:4) (mg),EPA (mg),DPA (mg),DHA (mg),Other FA (mg),P/M/S,Trans Fat (mg),Total AA (mg),Asp (mg),Thr (mg),Ser (mg),Glu (mg),Pro (mg),Gly (mg),Ala (mg),Cys (mg),Val (mg),Met (mg),Ile (mg),Leu (mg),Tyr (mg),Phe (mg),Lys (mg),His (mg),Arg (mg),Trp (mg),Cholesterol (mg),Alcohol (g),CalCalories(kcal),Carbs%,Protein%,Fat%,Alcohol%
穀物類,大麥仁,大麥仁,365,347,11.7,8.6,1.6,0.5,1.0,77.1,8.5,0.4,0.0,0.0,0.0,0.0,0.3,0.0,13.0,249.0,26.0,54.0,1.8,1.2,165.0,0.22,0.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.47,0.4,0.02,0.6,0.01,0.0,0.0,0.0,0.17,0.03,3.33,0.18,0.0,49.6,0.2,467.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,423.0,0.0,32.0,0.0,1.0,3.0,4.0,165.0,0.0,1.0,156.0,2.0,7.0,946.0,891.0,55.0,0.0,0.0,0.0,0.0,0.0,16.0,5.73/1.00/2.83,0.0,8157.0,464.0,275.0,361.0,2168.0,1013.0,328.0,319.0,225.0,405.0,66.0,284.0,587.0,245.0,423.0,288.0,233.0,381.0,93.0,0.0,,357.2,0.8634,0.0963,0.0403,0.0
穀物類,大麥片,大麥片,365,352,12.1,8.6,1.8,0.5,0.8,76.7,6.0,,,,,,,,7.0,246.0,13.0,55.0,2.2,0.8,129.0,,,0.0,0.0,,0.0,0.0,,,,,0.26,0.13,0.11,0.03,0.12,0.01,,,,0.15,0.04,3.23,0.18,,27.7,9.8,456.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,404.0,0.0,35.0,0.0,5.0,6.0,0.0,308.0,0.0,0.0,260.0,14.0,34.0,1026.0,963.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33/1.00/1.48,,9031.0,474.0,288.0,359.0,2386.0,1259.0,332.0,335.0,351.0,427.0,106.0,331.0,654.0,276.0,474.0,312.0,201.0,422.0,44.0,,,357.4,0.8584,0.0963,0.0453,0.0
穀物類,大麥仁粉,大麥仁粉,389,374,5.7,7.1,1.3,0.4,0.9,85.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,10.0,307.0,25.0,50.0,1.1,1.3,166.0,,,0.0,0.0,,,0.0,,,,,0.12,0.08,0.07,0.02,0.03,0.0,,,,0.09,0.03,2.85,0.23,,44.7,0.0,368.0,0.0,1.0,2.0,2.0,10.0,0.0,10.0,1.0,303.0,1.0,29.0,0.0,3.0,4.0,0.0,221.0,0.0,2.0,194.0,7.0,18.0,726.0,684.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29/1.00/1.67,,8332.0,495.0,272.0,358.0,2375.0,910.0,326.0,319.0,148.0,431.0,117.0,319.0,640.0,251.0,432.0,269.0,184.0,347.0,139.0,,,380.1,0.8945,0.0747,0.0308,0.0
穀物類,小米,小米,370,365,12.3,11.3,3.7,0.4,1.1,71.7,2.2,,,,,,,,1.0,202.0,5.0,108.0,2.9,2.3,164.0,,,0.0,0.0,,0.0,0.0,,,,,1.45,0.2,0.08,0.03,0.96,0.39,,,,0.46,0.11,4.15,0.32,,45.2,0.2,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,62.0,0.0,22.0,15.0,11.0,826.0,0.0,0.0,806.0,20.0,0.0,2387.0,2352.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41/1.87/1.00,,10268.0,657.0,311.0,631.0,2199.0,1232.0,236.0,1104.0,265.0,462.0,232.0,403.0,772.0,367.0,546.0,147.0,215.0,331.0,160.0,,,365.3,0.7851,0.1237,0.0912,0.0
穀物類,小米(2025年取樣),小米(2025年取樣),379,371,10.4,11.0,3.9,0.5,1.1,73.6,3.9,0.7,0.1,0.0,0.0,0.0,0.6,0.0,0.0,228.0,10.0,132.0,4.2,3.3,290.0,0.515,0.759,22.0,2.0,,,13.0,0.0,0.0,0.0,0.0,2.33,0.31,0.1,0.05,1.74,0.45,0.0,0.0,0.0,0.44,0.07,3.78,0.36,,52.6,0.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,0.0,74.0,0.0,29.0,19.0,12.0,871.0,0.0,7.0,850.0,14.0,0.0,2509.0,2463.0,46.0,0.0,0.0,0.0,0.0,0.0,11.0,4.59/1.59/1.00,0.0,10908.0,662.0,408.0,675.0,2356.0,814.0,284.0,1128.0,109.0,519.0,230.0,429.0,1334.0,389.0,581.0,186.0,213.0,387.0,202.0,,,373.5,0.7882,0.1178,0.094,0.0
穀物類,糯小米,糯小米,360,357,12.9,12.5,1.5,0.3,0.6,72.5,1.4,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,142.0,9.0,48.0,2.2,2.0,108.0,,,96.0,10.0,,0.0,57.0,,,,,0.58,0.07,0.03,0.01,0.33,0.21,,,,0.17,0.06,2.17,0.19,,28.5,0.5,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,35.0,0.0,10.0,7.0,3.0,341.0,0.0,2.0,333.0,6.0,0.0,918.0,901.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58/1.33/1.00,,11037.0,684.0,293.0,719.0,2639.0,390.0,112.0,1393.0,227.0,506.0,133.0,479.0,1615.0,399.0,638.0,127.0,233.0,271.0,179.0,,,353.5,0.8204,0.1414,0.0382,0.0
穀物類,小麥,小麥,362,338,12.6,14.1,2.6,0.5,1.5,69.2,11.3,,,,,,,,1.0,364.0,19.0,137.0,3.4,3.0,241.0,,,0.0,0.0,,0.0,0.0,,,,,3.5,1.71,1.27,0.56,1.6,0.07,,,,0.41,0.1,5.39,0.27,,73.3,5.1,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,0.0,26.0,0.0,0.0,0.0,0.0,458.0,0.0,0.0,437.0,21.0,0.0,1640.0,1526.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58/1.00/1.02,,15029.0,711.0,426.0,690.0,4739.0,1899.0,606.0,502.0,574.0,588.0,185.0,493.0,1024.0,457.0,711.0,397.0,357.0,669.0,0.0,,,356.6,0.7762,0.1582,0.0656,0.0
穀物類,小麥胚芽,小麥胚芽,417,396,4.2,31.4,11.6,1.7,4.9,47.9,10.0,,,,,,,,3.0,986.0,45.0,333.0,6.0,14.9,1173.0,,,29.0,3.0,,0.0,17.0,,,,,19.13,16.08,13.2,5.72,0.21,0.0,,,,2.44,0.52,4.02,1.4,,329.3,0.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1669.0,0.0,51.0,0.0,0.0,0.0,5.0,1870.0,0.0,0.0,1717.0,153.0,0.0,7990.0,7141.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,4.61/1.08/1.00,,28887.0,2779.0,1235.0,1307.0,4479.0,1400.0,1842.0,1953.0,1412.0,1473.0,393.0,991.0,1995.0,833.0,1080.0,1996.0,779.0,2620.0,321.0,,,421.6,0.4545,0.2979,0.2476,0.0
穀物類,去筋麵粉,去筋麵粉,355,354,13.6,0.2,0.1,0.0,0.3,85.7,0.4,0.0,0.0,0.0,,0.0,0.0,0.0,29.0,9.0,7.0,2.0,0.0,0.0,38.0,,,0.0,0.0,,,0.0,,,,,0.04,0.02,0.02,0.0,0.02,0.0,,,,0.01,0.0,0.1,0.02,,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,344.5,0.9951,0.0023,0.0026,0.0
穀物類,低筋麵粉,低筋麵粉,364,359,12.0,8.1,1.2,0.2,0.5,78.2,2.0,,,,,,,,1.0,148.0,12.0,26.0,1.2,0.6,75.0,,,0.0,0.0,,0.0,0.0,,,,,1.01,0.51,0.36,0.23,0.42,0.01,,,,0.17,0.04,0.88,0.07,,40.0,5.1,246.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,227.0,0.0,13.0,0.0,2.0,0.0,3.0,179.0,0.0,2.0,169.0,8.0,0.0,750.0,706.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19/1.00/1.37,,8607.0,398.0,247.0,407.0,2857.0,1071.0,317.0,285.0,329.0,376.0,43.0,299.0,597.0,215.0,382.0,208.0,198.0,322.0,56.0,,,356.0,0.8787,0.091,0.0303,0.0
穀物類,中筋麵粉,中筋麵粉,361,357,12.6,11.5,1.3,0.3,0.5,74.1,1.8,,,,,,,,4.0,125.0,12.0,29.0,0.9,0.7,76.0,,,0.0,0.0,,0.0,0.0,,,,,0.85,0.35,0.23,0.16,0.47,0.0,,,,0.12,0.08,1.01,0.08,,43.8,5.1,276.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,251.0,0.0,15.0,0.0,2.0,3.0,3.0,211.0,0.0,2.0,200.0,9.0,0.0,822.0,777.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89/1.00/1.31,,13037.0,510.0,335.0,580.0,4576.0,1691.0,453.0,384.0,442.0,525.0,149.0,456.0,898.0,389.0,626.0,267.0,282.0,474.0,0.0,,,354.1,0.8371,0.1299,0.033,0.0
穀物類,高筋麵粉,高筋麵粉,362,358,12.3,12.9,1.2,0.3,0.6,73.1,1.9,,,,,,,,1.0,108.0,11.0,33.0,1.2,0.9,81.0,,,0.0,0.0,,0.0,0.0,,,,,0.71,0.3,0.21,0.11,0.39,0.01,,,,0.12,0.03,1.13,0.07,,48.6,5.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,230.0,0.0,15.0,0.0,2.0,3.0,3.0,192.0,0.0,1.0,182.0,8.0,0.0,744.0,707.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88/1.00/1.32,,14070.0,591.0,382.0,657.0,4996.0,1879.0,511.0,415.0,488.0,587.0,58.0,473.0,932.0,348.0,617.0,286.0,318.0,458.0,73.0,,,354.8,0.8241,0.1454,0.0304,0.0
穀物類,高筋麵粉(2021年取樣),高筋麵粉(2021年取樣),362,357,12.3,13.8,1.3,0.5,0.4,72.2,2.5,0.3,0.0,0.0,0.0,0.2,0.2,0.0,1.0,98.0,14.0,30.0,0.9,1.0,86.0,0.154,0.398,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.56,0.44,0.25,0.13,1.18,0.0,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.0,30.4,4.8,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,2.0,24.0,0.0,7.0,7.0,5.0,159.0,0.0,4.0,147.0,7.0,0.0,571.0,548.0,23.0,0.0,0.0,0.0,0.0,0.0,55.0,3.59/1.00/3.08,0.0,13657.0,510.0,336.0,642.0,4995.0,1707.0,487.0,396.0,218.0,551.0,106.0,466.0,958.0,451.0,696.0,257.0,272.0,491.0,117.0,0.0,,355.7,0.8119,0.1552,0.0329,0.0
穀物類,全麥麵粉,全麥麵粉,359,342,12.7,13.0,1.7,0.3,1.2,71.4,8.0,0.3,0.0,0.0,,0.0,0.3,0.0,2.0,277.0,23.0,97.0,3.4,2.3,251.0,,,0.0,0.0,,0.0,0.0,,,,,2.51,0.91,0.57,0.39,1.55,0.01,,,,0.33,0.07,4.09,0.24,,71.1,7.1,321.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,287.0,1.0,20.0,0.0,3.0,3.0,3.0,309.0,0.0,2.0,294.0,13.0,0.0,1074.0,1011.0,63.0,0.0,0.0,0.0,0.0,0.0,2.0,3.48/1.00/1.04,,14294.0,651.0,392.0,640.0,4860.0,1629.0,567.0,462.0,297.0,597.0,145.0,515.0,1008.0,424.0,666.0,363.0,329.0,561.0,188.0,,,352.9,0.8093,0.1474,0.0434,0.0
穀物類,雜糧中筋麵粉,雜糧中筋麵粉,361,350,11.7,13.1,2.3,0.6,1.0,72.0,5.7,0.8,0.2,0.0,,0.4,0.3,0.0,2.0,207.0,24.0,52.0,1.8,1.7,175.0,0.021,,0.0,0.0,,,0.0,,,,,2.0,0.89,0.65,0.26,1.08,0.0,,,,0.34,0.08,2.23,0.08,,63.1,2.9,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,591.0,0.0,34.0,0.0,0.0,0.0,13.0,355.0,0.0,0.0,336.0,19.0,0.0,1268.0,1200.0,68.0,0.0,0.0,0.0,0.0,0.0,26.0,3.57/1.00/1.80,,11541.0,548.0,343.0,589.0,3980.0,1225.0,448.0,381.0,244.0,445.0,114.0,364.0,799.0,361.0,554.0,293.0,242.0,451.0,160.0,,,361.1,0.7976,0.1451,0.0573,0.0
穀物類,雜糧高筋麵粉,雜糧高筋麵粉,360,350,12.4,14.3,2.8,0.8,0.9,69.6,5.3,1.1,0.2,0.1,,0.4,0.3,0.0,2.0,218.0,24.0,65.0,1.9,1.7,191.0,0.022,,2.0,0.0,,,1.0,,,,,2.26,0.91,0.63,0.3,1.33,0.0,,,,0.33,0.04,2.63,0.12,,61.4,9.5,787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.0,0.0,40.0,0.0,11.0,12.0,10.0,445.0,0.0,0.0,428.0,17.0,0.0,1478.0,1405.0,73.0,0.0,0.0,0.0,0.0,0.0,44.0,3.32/1.00/1.77,,12437.0,554.0,360.0,633.0,4417.0,1376.0,481.0,405.0,252.0,476.0,0.0,397.0,867.0,399.0,619.0,306.0,264.0,482.0,151.0,,,360.8,0.7716,0.1585,0.0698,0.0
穀物類,白玉米,白玉米,66,58,83.8,3.4,0.6,,0.7,11.5,3.7,,,,,,,,5.0,200.0,5.0,30.0,0.6,0.7,100.0,,,24.0,2.0,,9.0,10.0,,,,,,,,,,,,,,0.04,0.08,0.8,0.08,,8.6,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,0.7077,0.2092,0.0831,0.0
穀物類,糯玉米(紫色),糯玉米(紫色),168,157,59.4,4.5,1.0,0.3,0.6,34.4,4.9,,,,,,,,1.0,253.0,5.0,10.0,1.0,1.0,139.0,,,0.0,0.0,,0.0,0.0,,,,,0.71,0.2,0.13,0.05,0.45,0.08,,,,0.17,0.09,1.27,0.34,,11.0,4.3,286.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,250.0,1.0,26.0,0.0,7.0,0.0,0.0,335.0,0.0,7.0,325.0,3.0,0.0,411.0,396.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,1.44/1.17/1.00,,4149.0,322.0,163.0,209.0,788.0,378.0,171.0,344.0,54.0,212.0,43.0,159.0,532.0,145.0,197.0,151.0,136.0,145.0,0.0,,,164.6,0.836,0.1094,0.0547,0.0
穀物類,甜玉米,甜玉米,107,97,75.7,3.3,2.5,0.7,0.7,17.8,4.7,7.0,1.6,1.5,,0.0,3.8,0.0,2.0,269.0,3.0,34.0,0.5,0.6,84.0,0.006,,180.0,18.0,,3.0,106.0,,,,,0.75,0.15,0.09,0.01,0.62,0.04,,,,0.13,0.1,1.84,0.2,,26.6,5.4,731.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,628.0,1.0,70.0,0.0,14.0,5.0,10.0,868.0,0.0,5.0,854.0,9.0,0.0,878.0,851.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20/1.19/1.00,,2851.0,245.0,115.0,146.0,481.0,239.0,123.0,232.0,40.0,139.0,34.0,97.0,324.0,125.0,132.0,116.0,91.0,122.0,51.0,,,106.9,0.666,0.1235,0.2105,0.0
穀物類,雙色水果玉米,雙色水果玉米,105,97,76.2,3.1,2.6,0.7,0.6,17.5,4.0,7.8,3.6,3.0,,0.0,1.2,0.0,0.0,239.0,3.0,33.0,0.7,0.7,92.0,,,0.0,0.0,,,0.0,,,,,0.94,0.28,0.2,0.03,0.68,0.04,,,,0.08,0.12,2.09,0.44,,5.7,5.8,731.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,580.0,0.0,98.0,0.0,13.0,0.0,0.0,903.0,0.0,0.0,903.0,0.0,0.0,895.0,888.0,7.0,0.0,0.0,0.0,0.0,0.0,21.0,1.23/1.24/1.00,,3086.0,236.0,128.0,159.0,549.0,248.0,138.0,273.0,30.0,160.0,70.0,107.0,342.0,122.0,139.0,147.0,78.0,143.0,16.0,,,105.8,0.6616,0.1172,0.2212,0.0
穀物類,糯玉米(雙色),糯玉米(雙色),172,165,59.1,4.7,1.9,0.5,0.9,33.4,3.5,1.1,0.7,0.4,,0.0,0.0,0.0,1.0,273.0,6.0,50.0,0.9,0.8,137.0,,,0.0,0.0,,,0.0,,,,,1.11,0.25,0.16,0.0,0.93,0.03,,,,0.18,0.09,1.48,0.28,,6.5,4.0,536.0,0.0,1.0,3.0,2.0,1.0,0.0,2.0,1.0,454.0,2.0,41.0,0.0,13.0,10.0,6.0,687.0,0.0,11.0,669.0,7.0,0.0,667.0,644.0,22.0,0.0,0.0,0.0,0.0,0.0,8.0,1.24/1.28/1.00,,4774.0,302.0,129.0,196.0,846.0,392.0,167.0,359.0,92.0,268.0,79.0,199.0,609.0,261.0,276.0,190.0,136.0,226.0,47.0,,,169.5,0.7882,0.1109,0.1009,0.0
穀物類,冷凍玉米粒,冷凍玉米粒,174,167,65.6,3.1,8.2,,0.6,22.5,3.1,,,,,,,,8.0,210.0,3.0,24.0,0.6,0.5,72.0,,,100.0,10.0,,30.0,45.0,,,,,,,,,,,,,,0.04,0.04,0.51,0.04,,2.4,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.2,0.5108,0.0704,0.4188,0.0
穀物類,乾玉米粒,乾玉米粒,373,346,11.9,10.9,3.9,0.6,1.1,72.2,12.8,0.5,0.0,0.0,,0.0,0.5,0.0,1.0,259.0,6.0,126.0,2.4,2.6,273.0,0.025,,71.0,7.0,,0.0,43.0,,,,,3.33,0.72,0.44,0.01,2.67,0.21,,,,0.47,0.07,1.4,0.7,,48.6,0.0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,71.0,0.0,25.0,3.0,8.0,1041.0,0.0,0.0,1026.0,15.0,0.0,2274.0,2228.0,47.0,0.0,0.0,0.0,0.0,0.0,8.0,3.67/1.68/1.00,,9802.0,628.0,358.0,480.0,1929.0,901.0,354.0,795.0,223.0,448.0,115.0,319.0,1359.0,395.0,485.0,263.0,281.0,400.0,69.0,,,367.5,0.7859,0.1186,0.0955,0.0
穀物類,玉米胚芽,玉米胚芽,366,354,11.5,7.0,0.9,0.1,0.3,80.3,5.7,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,94.0,3.0,17.0,0.8,0.5,65.0,,,6.0,1.0,,0.0,4.0,,,,,0.35,0.09,0.07,0.0,0.26,0.03,,,,0.06,0.03,1.21,0.19,,42.1,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,17.0,0.0,4.0,1.0,2.0,258.0,0.0,1.0,256.0,2.0,0.0,510.0,493.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99/2.02/1.00,,6822.0,384.0,218.0,307.0,1417.0,680.0,201.0,536.0,176.0,319.0,99.0,246.0,984.0,260.0,336.0,134.0,208.0,253.0,64.0,,,357.3,0.899,0.0784,0.0227,0.0
穀物類,玉米粉,玉米粉,369,368,10.9,0.3,0.4,0.1,0.1,88.3,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,14.0,4.0,2.0,3.0,0.2,0.0,14.0,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,0.0,0.1,0.02,,12.3,2.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,14.0,0.0,54.0,0.0,0.0,0.0,0.0,127.0,0.0,62.0,59.0,6.0,0.0,214.0,10.0,1.0,2.0,42.0,79.0,19.0,60.0,0.0,2.84/1.69/1.00,,,,,,,,,,,,,,,,,,,,,,,358.0,0.9866,0.0034,0.0101,0.0
穀物類,秈米平均值,秈米平均值,357,355,13.4,7.8,0.9,0.4,0.5,77.4,0.6,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,99.0,5.0,29.0,0.3,1.3,75.0,,,0.0,0.0,,,0.0,,,,,0.19,0.08,0.07,0.01,0.09,0.03,,,,0.09,0.02,1.5,0.03,,15.7,0.0,354.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,299.0,0.0,28.0,0.0,3.0,2.0,4.0,200.0,0.0,1.0,196.0,2.0,1.0,301.0,293.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51/1.00/1.77,,7618.0,703.0,272.0,369.0,1432.0,373.0,352.0,447.0,219.0,463.0,167.0,321.0,642.0,319.0,401.0,281.0,191.0,641.0,22.0,,,348.9,0.8874,0.0894,0.0232,0.0
穀物類,秈米(台中在來2號),秈米(台中在來2號),355,354,13.9,8.2,1.0,,0.6,76.3,0.5,,,,,,,,2.0,114.0,5.0,40.0,0.3,1.3,77.0,,,,,,,,,,,,0.22,0.11,0.09,0.01,0.1,0.02,,,,0.13,0.03,2.1,0.02,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8191.0,756.0,288.0,386.0,1549.0,415.0,376.0,472.0,230.0,507.0,184.0,350.0,679.0,338.0,432.0,313.0,210.0,706.0,0.0,,,347.0,0.8795,0.0945,0.0259,0.0
穀物類,秈米(台中秈10號),秈米(台中秈10號),358,357,13.0,7.4,0.7,0.3,0.4,78.5,0.6,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,85.0,5.0,19.0,0.2,1.3,73.0,,,0.0,0.0,,,0.0,,,,,0.16,0.06,0.05,0.01,0.08,0.03,,,,0.05,0.02,0.91,0.05,,19.5,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,248.0,0.0,23.0,0.0,3.0,1.0,4.0,166.0,0.0,1.0,163.0,1.0,1.0,250.0,243.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51/1.00/1.77,,7045.0,650.0,257.0,352.0,1316.0,331.0,329.0,422.0,209.0,420.0,150.0,292.0,606.0,301.0,370.0,250.0,172.0,575.0,45.0,,,349.9,0.8974,0.0846,0.018,0.0
穀物類,秈米(台中秈10號)(2024年取樣),秈米(台中秈10號)(2024年取樣),357,356,13.0,6.1,0.6,0.2,0.5,79.8,0.7,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,133.0,6.0,40.0,0.4,1.9,164.0,0.17,0.64,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.14,0.08,0.08,0.0,0.06,0.0,0.0,0.0,0.0,0.07,0.03,1.49,0.08,,28.6,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,182.0,0.0,19.0,0.0,3.0,2.0,4.0,156.0,0.0,0.0,153.0,1.0,1.0,181.0,175.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.16/1.00/1.42,0.0,6530.0,611.0,251.0,337.0,1188.0,292.0,336.0,392.0,127.0,393.0,89.0,262.0,543.0,346.0,331.0,249.0,155.0,560.0,65.0,,,349.0,0.9146,0.0699,0.0155,0.0
穀物類,稉米平均值,稉米平均值,354,352,14.1,7.0,0.7,0.2,0.4,77.8,0.7,0.1,0.0,0.0,,0.0,0.1,0.0,2.0,79.0,5.0,20.0,0.4,1.5,81.0,0.008,,4.0,0.0,,0.0,3.0,,,,,0.36,0.19,0.17,0.01,0.1,0.07,,,,0.08,0.02,1.09,0.08,,16.5,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,175.0,0.0,19.0,0.0,3.0,1.0,4.0,248.0,0.0,1.0,244.0,2.0,1.0,241.0,233.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.16/1.19/1.00,,6636.0,610.0,227.0,338.0,1230.0,284.0,306.0,376.0,328.0,378.0,112.0,262.0,559.0,280.0,337.0,230.0,169.0,531.0,82.0,,,345.5,0.9007,0.081,0.0182,0.0
穀物類,稉米(台中189號),稉米(台中189號),356,355,13.5,7.5,0.6,0.1,0.3,78.1,0.3,,,,,,,,3.0,85.0,5.0,12.0,0.7,1.5,77.0,,,0.0,0.0,,0.0,0.0,,,,,0.08,0.07,0.07,0.0,0.01,0.0,,,,0.04,0.02,0.84,0.05,,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,106.0,0.0,9.0,0.0,2.0,0.0,2.0,230.0,0.0,1.0,228.0,2.0,0.0,209.0,202.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72/1.90/1.00,,7223.0,646.0,247.0,361.0,1309.0,316.0,318.0,405.0,301.0,409.0,149.0,284.0,604.0,339.0,384.0,233.0,191.0,629.0,99.0,,,347.8,0.8982,0.0863,0.0155,0.0
穀物類,稉米(台南11號),稉米(台南11號),348,347,15.4,6.7,0.5,0.2,0.2,77.2,0.8,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,71.0,4.0,13.0,0.2,1.1,67.0,0.007,,0.0,0.0,,,0.0,,,,,0.12,0.11,0.11,0.0,0.01,0.0,,,,0.09,0.02,0.74,0.06,,14.6,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,164.0,0.0,14.0,0.0,2.0,2.0,2.0,126.0,0.0,0.0,120.0,2.0,5.0,163.0,158.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.29/1.00/1.50,,6894.0,641.0,248.0,380.0,1302.0,255.0,318.0,401.0,119.0,360.0,114.0,242.0,588.0,326.0,369.0,253.0,182.0,557.0,239.0,,,340.1,0.908,0.0788,0.0132,0.0
